Obsidian Sourcing Document,Document Name,Endnote Reference,Rank,XRF?,Full Citation,,,,,,,,,,,,,,,,,,,,,,,
,Baker and Francis 1978,"""{Baker, 1978 #10880}""",,,Baker* M. C. W. * and P. W. Francis. 1978. Upper Cenozoic Volcanism in the Central Andes - Ages and Volumes. Earth and Planetary Science Letters 41:175-187.,,,,,,,,,,,,,,,,,,,,,,,
,Baker et al. 1978,"""{Baker, 1978 #10882}""",,,Baker* P. E.* B. Sc.* and D. Phil. 1978. The South Sandwich Islands: Part III Petrology of the Rocks. British Antarctic Scientific Reports 93.,,,,,,,,,,,,,,,,,,,,,,,
,Baldridge et al. 1991,"""{Baldridge, 1991 #10883}""",,,Baldridge* W. S* F. V. Perry* D. T. Vaniman* L. D. Nealey* B. D. Leavy* A. W. Laughlin* P. Kyle* Y. Bartov* G. Steinitz* and E. S. Gladney. 1991. Middle to Late Cenozoic Magmatism of the Southeast Colorado Plateau and Central Rio Grande Rift (New Mexico and Arizona* USA): A Model for Continental Rifting. Technophysics 197:327-354.,,,,,,,,,,,,,,,,,,,,,,,
,Baldwin et al. 1993,"""{Baldwin, 1993 #10884}""",,,Baldwin* Suzanne L.* S. Lister Dgordon* E. June Hill* David A. Foster* and Ian Mcdougall. 1993. Thermochronological Constraints of the Tectonic Evolution of the Tectonic Evolution of the Active Metamorphic Core Complexes* D'Entrecasteaux Islands* Papua New Guinea. Technophysics 12(3):611-628.,,,,,,,,,,,,,,,,,,,,,,,
,Bandopadhyay 2004,"""{Bandopadhyay, 2004 #10885}""",,,Bandopadhyay* P. C. 2004. Proterozoic Deep Marine Volcanic Eruptive Product (Obsidian Glass) in Chanda Limestone* Penganga Group* India: Its Implications for Basin Evolution and Metagenesis. Gondwana Research 7(2):613-619.,,,,,,,,,,,,,,,,,,,,,,,
,Barca et al. 2007,"""{Barca, 2007 #10886}""",10,x,Barca* Donatella* Ann Maria De Francsco* and Gino Mirocle Crisci. 2007. Application of Laser Abalation ICP-MS for Characterisation of Obsidian Fragments from Peri-Tyrrhenian Area. Journal of Cultural Heritage 8:141-150.,,,,,,,,,,,,,,,,,,,,,,,
,Baugh et al. 1987,"""{Baugh, 1987 #10887}""",10,x,Baugh* Timothy G.* Fred W. Nelson* and Fred W. Nelson Jr. 1987. New Mexico Obsidian Sources and Exchange on the Southern Plains. Journal of Field Archaeology 14(3):313-329.,,,,,,,,,,,,,,,,,,,,,,,
,Bellot-Gurrlet et al. 2008,"""{Bellot-Gurlet, 2008 #10888}""",10,x,Bellot-Gurlet* Ludoviv* Olivier Dorighel* and Gérard Poupeau. 2008. Obsidian Provenace Studies in Columbia and Ecuador: Obsidian Sources Revisited. Journal of Archaeological Science 35:272-289.,,,,,,,,,,,,,,,,,,,,,,,
,Bellwood 1976,"""{Bellwood, 1976 #10889}""",,,Bellwood* Peter. 1976. Archaeological Research in Minahasa and the Talaud Islands* Northern Indonesia. Asian Perspectives XIX(2):240-288.,,,,,,,,,,,,,,,,,,,,,,,
,Benson and Mahood 2016,"""{Benson, 2016 #10890}""",,,Benson* Thomas R.* and Gail A. Mahood. 2016. Geology of the Mid-Miocene Rooster Comb Caldera and Lake Owyhee Volcanic Feild* Eastern Oregon: Silicic Volcanism Associated with Grande Ronde Flood Basalt. Journal of Volcanology and Geothermal Research 309:96-117.,,,,,,,,,,,,,,,,,,,,,,,
,Berning 2016,"""{Berning, 2016 #10891}""",,,Berning* Grant Ellis. 2016. Re-Analyzing Olmec Archaeology: Evaluating Materials from Robert J. Squier's 1964 Excavations at La Venta* Tabasco* Mexico* University of Kansas.,,,,,,,,,,,,,,,,,,,,,,,
,Bhushan and Chittora 1999,"""{Bhushan, 1999 #10892}""",10,x,Bhushan* S. K.* and V. K. Chittora. 1999. Late Proterozoic Bimodal Volcanic Assemblage of Siwana Subsistence Structure* Western Rajasthan* India. Journal of Geological Society of India 53:433-452.,,,,,,,,,,,,,,,,,,,,,,,
,Biagi and Gratuze 2016,"""{Biagi, 2016 #10893}""",,,Biagi* Paolo* and Bernard Gratuze. 2016. New Data on Structure Characterization and Exploitation of Obsidian from the Chikiani Area (Georgia). Eurasiatica 6:9-36.,,,,,,,,,,,,,,,,,,,,,,,
,Bigazzi et al. 1992,"""{Bigazzi, 1992 #10895}""",,,Bigazzi* G.* M. Coltelli* N. J. Hadler* A. M. Osorio Araya* M. Oddone* and E. Salazar. 1992. Obsidian-Bearing Lava Flows and Pre-Columbian Artifacts from the Ecuadorian Andes: First New Multidisciplinary Data. Journal of South American Earth Sciences 6(2):21-32.,,,,,,,,,,,,,,,,,,,,,,,
,Binder et al. 2011,"""{Binder, 2011 #10896}""",,,Binder* Didier* Bernard Gratuze* Damase Mouralis* and Nur Balkan-Atli. 2011. New Investigations of the Göllüdag Obsidian Lava Flows System: A Multi-Disciplinary Approach. Journal of Archaeological Science 38:3174-3184.,,,,,,,,,,,,,,,,,,,,,,,
,Bird et al. 1978,"""{Bird, 1978 #10898}""",,,Bird* J. R.* and P. Duerden. 1985. Artefact Identification. Paper presented at the Fourth Australian Conference on Nuclear Techniques of Analysis Proceedings.,,,,,,,,,,,,,,,,,,,,,,,
,Bird and Duerden 1985,"""{Bird, 1985 #10897}""",,,Bird* J. R.* L. H. Russell* M. D. Scott* and W. R. Ambrose. 1978. Obsidian Characterisation with Elemental Analysis by Proton Induced Gama-Ray Emmision. Analytical Chemistry 50(14):2082-2084.,, ,,,,,,,,,,,,,,,,,,,,,
,Bird et al. 1997,"""{Bird, 1997 #10899}""",,,Bird* Roger* Robin Torrence* Glenn Summerhayes* and Grahame Bailey. 1997. New Britian Obsidian Sources. Archaeology Oceania 32:61-67.,,,,,,,,,,,,,,,,,,,,,,,
,Black 2014 Idaho,"""{Black, 2014 #10900}""",10,x,Black* Marielle Loryn Pedro. 2014. Using X-Ray Fluorescence Spectrometry to Assess Varience in Obsidian Source Distribution in Southern Idaho* Boise State University.,,,,,,,,,,,,,,,,,,,,,,,
,Bonatti et al. 1977,"""{Bonatti, 1977 #10901}""",,,Bonatti* E.* C. G. A. Harrison* D. E. Fisher* J. Honnorez* J. G. Schilling* J. J. Stipp* and M. Zentilli. 1977. Easter Volcanic Chain (Southeast Pacific): A Mantle Hotline. Journal of Geophysical Research 82(17):2457-2478.,,,,,,,,,,,,,,,,,,,,,,,
,Boulanger et al. 2012,"""{Boulanger, 2012 #10902}""",,,Boulanger* Matthew T.* Richard S. Davis* and Michael D. Glascock. 2012. Preliminary Characterisation and Regional Comparison of the Dash-i-Nawur Obsidian Source Near Ghazni* Afghanistan. Journal of Archaeological Science 39:2320-2328.,,,,,,,,,,,,,,,,,,,,,,,
,Braswell and Glascock 1992,"""{Braswell, 1992 #10903}""",,,Braswell* Geoffery E.* and Michael D. Glascock. 1992. A New Obsidian Source in the Highlands of Guatemala. Ancient Mesoamerica 3:47-49.,,,,,,,,,,,,,,,,,,,,,,,
,Braswell and Glascock 1998,"""{Braswell, 1998 #10904}""",,,Braswell* Geoffery E.* and Michael D. Glascock. 1998. Interpreting Intrasource Variation in the Composition of Obsidian: The Geoarchaeology of San Martin Jilotepeque* Guatemala. Latin American Antiquity 9(4):353-369.,,,,,,,,,,,,,,,,,,,,,,,
,Bressy et al. 2005,"""{Bressy, 2005 #10905}""",,,Bressy* C.* G. Poupeau* and K. A. Yener. 2005. Cultural Interactions During the Ubaid and Halaf Periods: Tell Kurdu (Amuq Valley* Turkey) Obsidian Sourcing. Journal of Archaeological Science 32:1560-1565.,,,,,,,,,,,,,,,,,,,,,,,
,Briggs et al. 2005,"""{Briggs, 2005 #10906}""",,,Briggs* R. M.* B. F. Houghton* M. Mcwilliams* and C. J. N. Wilson. 2005. 40Ar/39Ar Ages of Silicic Volcanic Rocks in the Tauranga-Kaimai Area* New Zealand: Dating the Transition Between Volcanism in the Coromandel Arc and the Taupo Volcanic Zone. New Zealand Journal of Geology and Geophysics 48:459-469.,,,,,,,,,,,,,,,,,,,,,,,
,Brooks et al. 1981,"""{Brooks, 1981 #10907}""",,,Brooks* C. K.* P. Henderson* and J. G. Ronsbo. 1981. Rare-earth Partition Between Allanite and Glass in the Obsidian of Sandy Braes* Northern Ireland. In Mineralogical Magazine* pp. 157-160. vol. 44.,,,,,,,,,,,,,,,,,,,,,,,
,Brown et al. 2009,"""{Brown, 2009 #10908}""",10,x,Brown* Francis H.* Charles Rid* and Agazi Negash. 2009. Possible Isotopic Fractionation of Argon in Source Obsidians and Archaeological Artifacts from Kulkuletti* Ethiopia. Journal of Archaeological Science 36:2119-2124.,,,,,,,,,,,,,,,,,,,,,,,
,Brown et al. 2013,"""{Brown, 2013 #10909}""",,,Brown* F. H.* B. P. Nash* D. P. Fernandez* H. V. Merrick* and R. J. Thomas. 2013. Geochemical Composition of Source Obsidians from Kenya. Journal of Archaeological Science 40:3233-3251.,,,,,,,,,,,,,,,,,,,,,,,
,Asaro and Burger 1977,"""{Burger, 1977 #10877}""",,,Burger* Richard L.* and Frank Asaro. 1977. Trace Element Analysis of Obsidian Artifacts from the Andes: New Perspectives on Pre-Hispanic Economic Interaction in Peru and Bolivia. Copies available from Archaeology Research Facility* UC Berkeley.,,,,,,,,,,,,,,,,,,,,,,,
,Burger et al. 1998,"""{Burger, 1998 #10911}""",,,Burger* Richard L.* and Michael D. Glascock. 2000. The Puzolana Obsidian Source: Locating the Geological Source of Ayacucho Type Obsidian. Andean Past 6:289-307.,,,,,,,,,,,,,,,,,,,,,,,
,Burger and Glascock 2000,"""{Burger, 2000 #10910}""",,,Burger* Richard L.* Katharina J. Schreiber* Michael D. Glascock* and Jose Ccencho. 1998. The Jampatilla Source: Identifiing the Geological Source of the Pampas Type Obsidian Artifacts from Southern Peru. Andean Past 5:225-239.,,,,,,,,,,,,,,,,,,,,,,,
,Burley et al. 2011,"""{Burley, 2011 #10912}""",10,x,Burley* David V.* Peter J. Sheppard* and Maia Simonin. 2011. Tongan and Samoan Volcanic Glass: PXRF Analysis and Implications for Constructs of Ancestral Polynesian Society. Journal of Archaeological Science 38:2625-2632.,,,,,,,,,,,,,,,,,,,,,,,
,Cann and Renfrew 1964,"""{Cann, 1964 #10913}""",,,Cann* J. R. * and Colin Renfrew. 1964. Characterization of Obsidian and its Application to the Mediterranean Region. The Prehistory Society 8:111-112.,,,,,,,,,,,,,,,,,,,,,,,
,Capriles et al. 2016,"""{Capriles, 2016  #10914}""",1,x,Capriles* Jose M.* Juan Albarracin-Jordan* Umberto Lombardo* Daniela Osorio* Blaine Maley* Steven T. Goldstien* Katherine A. Herrera* Michael D. Glascock* Alejandra I. Domic* Heinz Veit* and Calogero M. Santoro. 2016. High-Altitude Adaptation and Late Pleistocene Foraging in the Bolivian Andes. Journal of Archaeological Science 6:463-474.,,,,,,,,,,,,,,,,,,,,,,,
,Carballo et al 2007,"""{Carballo, 2007 #11351}""",,,Carballo* David M.* Jennifer Carballo* and Hector Neff. 2007. Formative and Classic Period Obsidian Procurement in Central Mexico: A Compositional Study Using Laser Ablation-Inductively Coupled Plasma-Mass Spectrometry. Latin American Antiquity 18(1):27-43. ,,,,,,,,,,,,,,,,,,,,,,,
,IAOS Bulletin 40,"""{Caria, 2009 #11105}""",1,x,Caria* Mario A.* Patricia S. Escola* Julian P. Gomez Augier* and Michael D. Glascock. 2009. Obsidian Circulation: New Distribution Zones for the Argentinean Northwest. International Association for Obsidian Studies 40:5-11.,,,,,,,,,,,,,,,,,,,,,,,
,Carter and Shackley 2007,"""{Carter, 2007 #10917}""",1,x,Carter* Tristian* and M. S. Shackley. 2007. Sourcing Obsidian from Neolithic Çatalhöyük (Turkey) Using Energy Dispersive X-Ray Fluorescence. Archaeometry 49(3):437-454.,,,,,,,,,,,,,,,,,,,,,,,
,Carter and Cotreras 2012,"""{Carter, 2012 #10916}""",10,x,Carter* Tristian* and Daniel A. Corteras. 2012. The Character and Use of the Soros Hill Obsidian Source* Antiparos (Greece). Comptes Rendus Palevol 11:595-602.,,,,,,,,,,,,,,,,,,,,,,,
,Carter et al. 2013,"""{Carter, 2013 #10918}""",10,x,Carter* Tristian* Sarah Grant* Metin Kartal* Aytaç Coskun* and Vecihi Özkaya. 2013. Networks and Neolithisation: Sourcing from Kortik Tepe (SE Anatolia). Journal of Archaeological Science 40:556-569.,,,,,,,,,,,,,,,,,,,,,,,
,Carter 2016,"""{Carter, 2016 #10915}""",10,x,Carter* Tristian. 2016. Obsidian Consumption in the Late Pleistocene-Early Holocene Aegean: Contextualising New Data from Mesolithic Crete. The Annual of the British School at Athens 3(1):13-34.,,,,,,,,,,,,,,,,,,,,,,,
,Chataigner et al. 2013,"""{Chataigner, 2014 #10920}""",,,Chataigner* C.* and B. Gratuze. 2014. New Data on the Exploitation of Obsidian in the Southern Caucasus (Armenia* Georgia) and Eastern Turkey* Part 1: Source Characterization. Archaeometry 56(1):48-69.,,,,,,,,,,,,,,,,,,,,,,,
,Chataigner and Gratuze 2014,"""{Chataigner, 2014 #10919}""",,,Chataigner* C.* and B. Gratuze. 2014. New Data on the Exploitation of Obsidian in the Southern Caucasus (Armenia* Georgia) and Eastern Turkey* Part 2: Obsidian Procurement from the Upper Paleolithic to the Broze Age. Archaeometry 56(1):48-69.,,,,,,,,,,,,,,,,,,,,,,,
,Chataigner and Gratuze 2014b,"""{Chataigner, 2013 #10921}""",,,Chataigner* C.* M. Isikli* B. Gratuze* and V. Çil. 2013. Obsidian Sources in the Regions of Erzurum and Kars (North-East Turkey): New Data. Archaeometry 56(3):351-374.,,,,,,,,,,,,,,,,,,,,,,,
,Chen et al. 2007,"""{Chen, 2007 #10922}""",,,Chen* Yang* Youxue Zhang* David Graham* Shangguo Su* and Jinfu Deng. 2007. Geochemistry of Cenozoic Basalts and Mantle Xenoliths in Northeast China. Lithos 96:108-126.,,,,,,,,,,,,,,,,,,,,,,,
,Cherry et al. 2010,"""{Cherry, 2010 #10923}""",,,Cherry* John F.* Elissa Z. Faro* and Leah Minc. 2010. Field Survey and Geochemical Characterization of the Southern Armenian Obsidian Sources. Journal of Field Archaeology 35(2):147-163.,,,,,,,,,,,,,,,,,,,,,,,
,Christiansen 2001,"""{Christiansen, 2001 #10924}""",10,x,Christiansen* Robert L. 2001. The Quaternary and Pliocene Yellowstone Plateau Volcanic Field of Wyoming* Idaho* and Montana. Copies available from USGS: Geology of Yellowstone* Professinoal Paper.,,,,,,,,,,,,,,,,,,,,,,,
,Church 2000,"""{Church, 2000 #10925}""",10,x,Church* Tim. 2000. Distribution and Sources of Obsidian in the Rio Grande Gravels of New Mexico. Geoarchaeology: An International Journal 15:649-678.,,,,,,,,,,,,,,,,,,,,,,,
,clay_etal_2015,"""{Clay, 2015 #10926}""",10,x,Clay* P. L. * H. Busemann* S. C. Sherlock* T. L. Barry* S. P. Kelley* and D. W. Mcgarvie. 2015. 40Ar/39Ar Ages and Residual Volatile Contents in Degassed Subarial and Subglacial Volcanic Rocks from Iceland. Chemical Geology 403:99-110.,,,,,,,,,,,,,,,,,,,,,,,
,Clayton and Kunselman 2002,"""{Clayton, 2002 #10927}""",10,x,Clayton* Carmen* and Raymond Kunselman. 2002. Obsidian Source Utilization at the Trappers Point Antelope Kill Site 48SU1006. The Wyoming Archaeologist 46:83-91.,,,,,,,,,,,,,,,,,,,,,,,
,Cobean et al. 1971,"""{Cobean, 1971 #10988}""",,,Cobean* Robert H.* Micheal D. Coe* Jr. Edward a Perry* Karl K. Turekian* and Dinkar P. Kharkar. 1971. Obsidian Trade in San Lorenzo Tenochtitlan* Mexico. Science* New Series 174(4010):666-671.,,,,,,,,,,,,,,,,,,,,,,,
,Cobean et al. 1991,"""{Cobean, 1991 #10989}""",,,Cobean* Robert H.* James R. Vogt* Michael D. Glascock* and Terrance L. Stocker. 1991. High Precision Trace-Element Characterization of Major Mesoamerican Obsidian Sources and Further Analysis of Artifacts from San Lorenzo Tenochtitlan* Mexico. Latin American Antiquity 2(1):69-91.,,,,,,,,,,,,,,,,,,,,,,,
DOCUMENT NOT SAVED,Cobean 2002,"""{Cobean, 2002 #10987}""",,,Cobean* R. H. 2002. A World of Obsidian: The Mining and Trade of a Volcanic Glass in Ancient Mexico. Serie Arqeologia de Mexico.,,,,,,,,,,,,,,,,,,,,,,,
,Cole et al. 1990,"""{Cole, 1990 #10990}""",,,Cole* J. W.* I. J. Graham* and L. L. Gibson. 1990. Magmatic Evolution of Late Cenozoic Volcanic Rocks of the Lau Ridge* Fiji. Contributions to Minerology and Petrology 104:540-554.,,,,,,,,,,,,,,,,,,,,,,,
,Condit et al. 1989,"""{Condit, 1989 #10991}""",,,Condit* Christopher D.* L. S. Crumpler* Jayne C. Aubele* and Wolfgang E. Elston. 1989. Patterns of Volcanism Along the Southern Margin of the Colorado Plateau: The Springerville Field. Journal of Geophysical Research 94(B6):7975-7986.,,,,,,,,,,,,,,,,,,,,,,,
,Cook 1995,"""{Cook, 1995 #10992}""",10,x,Cook* John P. 1995. Characterization and Distribution of Obsidian in Alaska. Artic Anthropology 32(1):92-100.,,,,,,,,,,,,,,,,,,,,,,,
,Cornelissen 2003,"""{Cornelissen, 2003 #10993}""",,,Cornelissen* Els. 2003. On Microlithic Quartz Industries at the End of the Pleistocene in Central Africa: The Evidence from Shum Lake (NW Cameroon). African Archaeological Review 20(1):1-24.,,,,,,,,,,,,,,,,,,,,,,,
,Craig et al. 2009,"""{Craig, 2010 #8397}""",1,x,Craig* Nathan* Robert J. Speakman* Rachel S. Popelka-Filcoff* Mark Aldenderfer* Luis Flores Blanco* Margaret Brown Vega* Michael D. Glascock* and Charles Stanish. 2010. Macusani Obsidian from Southern Peru: A Characterization of its Elemental Composition with a Demonstration of Its Ancient Use. Journal of Archaeological Science 37:569-576.,,,,,,,,,,,,,,,,,,,,,,,
,Darling and Hayashida 1995,"""{Darling, 1995 #10995}""",,,Darling* J. A.* and F. M. Hayashida. 1995. Composition of the Huitzila and La Lobera Obsidian Sources in the Southern Madre Occidental* Mexico. Journal of Radioanalytical and Nuclear Chemistry 196(2):245-254.,,,,,,,,,,,,,,,,,,,,,,,
,Darras 2008,"""{Darras, 2008 #10996}""",,,Darras* Véronique. 2008. Estrategias para la Produccion de Navajas de Obsidiana en la Region de Zacapa y la Vertiente del Lerma (Mihoacan* Mexico) Entre el Epiclasico y el Posclasico Tardio. Ancient Mesoamerica 19(2):243-264.,,,,,,,,,,,,,,,,,,,,,,,
DOCUMENT NOT SAVED,Darton 1912,"""{Darton, 1912 #10997}""",,,Darton* N. H. 1912. Volcanic Action in the Black Hills of South Dakota. Science 36(931):602-603.,,,,,,,,,,,,,,,,,,,,,,,
,Davis et al. 1995,"""{Davis, 1995 #5728}""",10,x,Davis* Leslie B.* Stephen A. Aaberg* James G. Schmitt* and Ann M. Johnson. 1995. The Obsidian Cliff Plateau Prehistoric Lithic Source* Yellowstone National Park* Wyoming. Selections for Division of Cultural Resources No. 6. National Park Service* Rocky Mountain Region* Denver.,,,,,,,,,,,,,,,,,,,,,,,
,Francesco et al. 2008,"""{De Francisco, 2008 #11047}""",10,x,De Francisco* A. M.* G. M. Crisci* and M. Bocci. 2008. Non-Destructive Analytical Method Using XRF for Determination of Provenance of Archaeological Obsidians from the Mediterranean Area. A Comparison with Transitional XRF Methods. Archaeometry 50(2):337-350.,,,,,,,,,,,,,,,,,,,,,,,
,Dilek et al. 2010,"""{Dilek, 2010 #10998}""",,,Dilek* Yildirium* Nazimlmamcerdiyev* and Safak Altunkaynak. 2010. Geochemistry and Tectonics of Cenozoic Volcanism in the Lesser Caucasus (Azerbaijan) and the Peri-Arabian Region: Collision-Induced Mantle Dynamics and its Magmatic Fingerprint. International Geology Review 52(4-6):536-578.,,,,,,,,,,,,,,,,,,,,,,,
,Dillian and White 2010,"""{Dillian, 2010 #10999}""",10,x,Dillian* Carolyn D.* and Carolyn L. White. 2010. Trade and Exchange: Archaeological Studies from History and Prehistory. Springer:23-24.,,,,,,,,,,,,,,,,,,,,,,,
,Doe et al. 1982,"""{Doe, 1982 #10863}""",,,Doe* B. R.* W. P. Leeman* R. L. Christiansen* and C. E. Hedge. 1982. Lead and Strontium Isotopes and Related Trace Elements as Genetic Tracers in the Upper Cenozoic Rhyolite-Basalt Association of the Yellowstone Plateau Volcanic Field. Journal of Geophysical Research 87(B6):4785-4806.,,,,,,,,,,,,,,,,,,,,,,,
,Doering 2002,"""{Doering, 2002 #11000}""",,,Doering* Travis F. 2002. Obsidian Artifacts from San Andres* La Venta* Tabasco* Mexico* The Florida State University.,,,,,,,,,,,,,,,,,,,,,,,
,Dolan et al. 2016,"""{Dolan, 2016 #11001}""",1,x,Dolan* Sean G.* Michael E. Whalen* Paul E. Minnis* and Steven M. Shackley. 2016. Obsidian in the Casas Grandes World: Procurement* Exchange* and Interaction in Chihuahua* Mexico* CE 1200-1450. Journal of Archaeological Science 11:555-567.,,,,,,,,,,,,,,,,,,,,,,,
,Doronicheva and Shackley 2014,"""{Doronicheva, 2014 #11002}""",1,x,Doronicheva* Ekaterina V.* and Steven M. Shackley. 2014. Obsidian Exploitation Strategies in the Middle and Upper Paleolithic of the Northern Caucasus: New Data from Mesmaiskaya Cave. PaleoAnthropology:565-586.,,,,,,,,,,,,,,,,,,,,,,,
,Drápalová 2010,"""{Drápalová, 2010 #11003}""",10,x,Drápalová* Radka. 2010. Petrografická a Geochemická Charakteristika Zdroju Obsidiánu v Turecku* Masarykova Univerzita BRNE.,,,,,,,,,,,,,,,,,,,,,,,
,Draucker 2007,"""{Draucker, 2007 #11004}""",,,Draucker* Anne Christine. 2007. Geochemical Characterization of Obsidian Subsources from the Coso Range* California Using Laser Abalation Inductively Coupled Plasma Mass Spectrometry as a Tool from Archaeological Investigations* California State University.,,,,,,,,,,,,,,,,,,,,,,,
,Dumond and Bland,"""{Dumond, 2006 #11005}""",,,Dumond* Don E.* and Richard L. Bland (editors). 2006. Archaeology in Northeast Asia: On the Pathway to Bering Strait. Museum of Natural and Cultural History and Dept. of Anthropology* University of Oregon* in partnership with Shared Beringian Heritage Program* National Park Service* Eugene.,,,,,,,,,,,,,,,,,,,,,,,
,Duran et al. 2004,"""{Durán, 2004 #11006}""",,,Durán* Víctor* Martin Geisso* Michael D. Glascock* Gustavo Neme* Adolfo Gil* and Lorena Sanhuenza R. 2004. Estudio de Fuentes de Aprovisionamiento y Redes de Distribucion de Obsidiana Durante el Holoceno Tardio en el Sur de Mendoza (Argentina). Estudios Atacamenos 28:25-43.,,,,,,,,,,,,,,,,,,,,,,,
,Duran et al. 2011,"""{Durán, 2012 #11007}""",10,x,Durán* Víctor* Anna Maria de Francisco* Valeria Cortegoso* Gustavo Neme* Luis Cornejo* Marco Bocci. 2012. Caracterización y Procedencia de Obsidianas de Sitios Arquelógicos del Central Oeste de Argentina y Centro Chile con Metodología no Destructiva por Fluorescencia de Rayos X (XRF). Intersecciones en Antropología 13:423-437.,,,,,,,,,,,,,,,,,,,,,,,
,Dyrdahl and Speakman 2013,"""{Dyrdahl, 2013 #11008}""",1,x,Dyrdahl* Eric* and Robert J. Speakman. 2013. Investigating Obsidian Procurement at Intergation Period (ca. AD 700-1500) Tola Sites in Highland Northern Ecuador via Portable X-Ray Flourescence (pXRF). Archaeological Chemistry VIII ACS Symposium Series. American Chemical Society* Washington DC.,,,,,,,,,,,,,,,,,,,,,,,
,Eaby et al. 1984,"""{Eaby, 1984 #11334}""",,,Eaby* Jacqueline* David Clague* and John R. Delaney. 1984. Sr Isotopic Variations Along the Juan de Fuca Ridge. Journal of Geophysical Research 89(B9):7883-7890. ,,,,,,,,,,,,,,,,,,,,,,,
,Elbert et al. 2015,"""{Ebert, 2015 #11012}""",10,x,Ebert* C. E.* M. Dennison* K. G. Hirth* Cs. B. Mcclure* and D. J. Kennett. 2015. Formative Period Obsidian Exchange Along the Pacific Coast of Mesoamerica. Archaeometry 57(1):54-73.,,,,,,,,,,,,,,,,,,,,,,,
,Ebinger and Sleep* 1998,"""{Ebinger, 1998 #11009}""",,,Ebinger* C. J.* and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791.,,,,,,,,,,,,,,,,,,,,,,,
